epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1150.75,0.8296,1.8026,1.02857,1.17008,0.533,0.44744,0.46215,0.30762,0.54313,0.43264,0.43397,0.25629,1.30404,2.913,1.76484,1.60632,0.000473064,0.000473064,0.000473064
31,1188.96,0.8064,1.75109,0.97602,1.14472,0.62501,0.42533,0.50384,0.34716,0.60806,0.42738,0.47934,0.306,1.19346,2.77823,1.72304,1.50589,0.000451066,0.000451066,0.000451066
32,1227.37,0.79317,1.72589,0.96285,1.14471,0.61952,0.52094,0.54915,0.37185,0.57304,0.48014,0.51152,0.32053,1.24701,2.67113,1.62972,1.54853,0.000429068,0.000429068,0.000429068
33,1267.46,0.78152,1.72444,0.95496,1.13883,0.45496,0.52683,0.47795,0.32724,0.43593,0.50699,0.44847,0.28344,1.25022,2.6951,1.72198,1.57852,0.00040707,0.00040707,0.00040707
34,1308.61,0.77889,1.68792,0.93331,1.13561,0.58648,0.49714,0.50068,0.35115,0.58524,0.48532,0.48149,0.30534,1.19958,2.71007,1.63733,1.50227,0.000385073,0.000385073,0.000385073
35,1347.29,0.75609,1.66201,0.89789,1.11614,0.56389,0.55318,0.52392,0.36797,0.55693,0.54649,0.50971,0.31177,1.23126,2.6542,1.65086,1.56076,0.000363075,0.000363075,0.000363075
36,1385.32,0.75438,1.6745,0.9117,1.11666,0.54785,0.56798,0.51734,0.35203,0.54194,0.53126,0.47892,0.31222,1.21781,2.71629,1.75948,1.5301,0.000341077,0.000341077,0.000341077
37,1422.79,0.7461,1.60841,0.88056,1.11144,0.62888,0.50002,0.5175,0.36155,0.6049,0.47575,0.48781,0.31466,1.18155,2.76189,1.69808,1.54088,0.000319079,0.000319079,0.000319079
38,1460.58,0.73852,1.61369,0.8639,1.1081,0.56529,0.50488,0.50359,0.3562,0.56441,0.50099,0.49177,0.30578,1.22254,2.85928,1.71426,1.57072,0.000297081,0.000297081,0.000297081
39,1499.06,0.73089,1.56451,0.85181,1.09987,0.56021,0.54455,0.51004,0.34774,0.53982,0.52281,0.48362,0.31213,1.21899,2.76021,1.70603,1.54448,0.000275084,0.000275084,0.000275084
40,1539.82,0.71527,1.54357,0.85537,1.09568,0.53585,0.58219,0.5381,0.36426,0.52561,0.56978,0.4994,0.3105,1.234,2.89055,1.58421,1.61966,0.000253086,0.000253086,0.000253086
41,1576.48,0.68116,1.44866,0.8752,1.11974,0.54514,0.52651,0.49697,0.34525,0.52236,0.5082,0.46902,0.30527,1.20291,2.70968,1.61927,1.54622,0.000231088,0.000231088,0.000231088
42,1610.89,0.66202,1.35425,0.77313,1.10669,0.54581,0.47851,0.5083,0.35372,0.60144,0.43583,0.49458,0.31437,1.24813,2.72169,1.69711,1.5778,0.00020909,0.00020909,0.00020909
43,1643.28,0.63255,1.29188,0.72327,1.08343,0.62457,0.54606,0.52801,0.3718,0.60104,0.52058,0.48785,0.31997,1.22336,2.75323,1.676,1.58092,0.000187092,0.000187092,0.000187092
44,1674.8,0.60693,1.23549,0.68755,1.0657,0.5688,0.5695,0.5196,0.36856,0.52916,0.52238,0.47961,0.31148,1.19214,2.69668,1.65573,1.55734,0.000165095,0.000165095,0.000165095
45,1709.03,0.59479,1.21058,0.66075,1.05695,0.61301,0.50929,0.51462,0.35495,0.5591,0.48822,0.48702,0.31578,1.24417,2.95551,1.69148,1.62621,0.000143097,0.000143097,0.000143097
46,1744.89,0.57991,1.19518,0.65336,1.05095,0.59517,0.52907,0.50679,0.36026,0.57475,0.51577,0.48725,0.31153,1.18723,2.67671,1.70441,1.55412,0.000121099,0.000121099,0.000121099
47,1781.09,0.56706,1.16636,0.62267,1.03049,0.6137,0.53368,0.50212,0.35286,0.58662,0.50968,0.47677,0.31053,1.19322,2.68985,1.71917,1.57928,9.91012e-05,9.91012e-05,9.91012e-05
48,1812.1,0.56105,1.16498,0.61412,1.02831,0.60816,0.5337,0.5011,0.35663,0.57286,0.51208,0.48194,0.31655,1.17876,2.72034,1.6626,1.56048,7.71034e-05,7.71034e-05,7.71034e-05
49,1845.15,0.53038,1.10918,0.58579,1.01275,0.60539,0.53487,0.50545,0.35301,0.56606,0.49851,0.467,0.31194,1.21272,2.7669,1.69354,1.59265,5.51056e-05,5.51056e-05,5.51056e-05
50,1879.29,0.53756,1.11101,0.59983,1.02538,0.56958,0.55787,0.51801,0.37003,0.54209,0.53457,0.49573,0.32369,1.19336,2.76254,1.71025,1.57186,3.31078e-05,3.31078e-05,3.31078e-05
